"STATION","NAME","DATE","TMAX","TMIN"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-08","82","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-09","81","65"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-10","71","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-11","81","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-12","85","59"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-13","88","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-14","89","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-15","75","42"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-16","65","38"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-17","73","41"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-18","75","46"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-19","77","51"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-20","79","53"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-21","82","55"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-22","68","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-23","76","52"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-24","82","53"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-25","72","49"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-26","77","51"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-27","71","53"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-28","81","52"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-29","81","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-06-30","84","57"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-01","86","61"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-02","85","62"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-03","89","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-04","81","52"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-05","75","49"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-06","76","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-07","80","49"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-08","79","53"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-09","76","51"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-10","78","48"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-11","78","49"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-12","82","54"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-13","80","56"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-14","77","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-15","85","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-16","74","65"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-17","81","62"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-18","82","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-19","82","58"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-20","79","60"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-21","85","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-22","87","63"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-23","89","64"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-24","91","69"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-25","87","67"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-26","85","66"
"USC00365817","MILLVILLE 2 SW, PA US","1961-07-27","80","57"
